have	1315648 -> had,has,'ve,having,'s,'d,d,ve
slope	2614 -> slopes,sloped,sloping
absorb	2610 -> absorbed,absorbing,absorbs
★crystal	2610 -> crystals
★expertise	2610 -> expertises
pole	2609 -> poles,poling,poled
★kent	2606 -> kents
frequent	2605 -> frequented,frequenting,frequents
★margin	2604 -> margins
sole	2604 -> soles,soled,soling
cow	2603 -> cows,cowed,cowing
stir	2598 -> stirred,stirring,stirs
★uncertainty	2597 -> uncertainties
forecast	2591 -> forecasts,forecasting,forecasted
★cathedral	2589 -> cathedrals
pin	2589 -> pinned,pins,pinning
rid	2589 -> ridding,rids,ridded
★arthur	2587 -> arthurs
★driving	2586 -> drivings
★multiple	2585 -> multiples
premier	2584 -> premiers,premiered
concert	2582 -> concerts,concerting
★universe	2582 -> universes
fulfil	2581 -> fulfilled,fulfilling,fulfils
★canal	2579 -> canals
★capitalist	2579 -> capitalists
delight	2574 -> delights,delighted,delighting
tune	2574 -> tunes,tuned,tuning
react	2573 -> reacted,reacting,reacts
★ceiling	2572 -> ceilings
★sergeant	2572 -> sergeants
timber	2571 -> timbers,timbered
halt	2570 -> halted,halting,halts
★feminist	2567 -> feminists
wrap	2567 -> wrapped,wrapping,wraps,wrapt
delegate	2564 -> delegates,delegated,delegating
★prosecution	2563 -> prosecutions
★consciousness	2561 -> consciousnesses
★constraint	2561 -> constraints
★opera	2561 -> operas
wise	2560 -> wiser,wisest,wised,wises,wising
privilege	2558 -> privileges,privileging,privileged
cite	2556 -> cited,cites,citing
★excitement	2554 -> excitements
trick	2553 -> tricks,tricked,tricking
★guideline	2552 -> guidelines
★objection	2550 -> objections
★innocent	2548 -> innocents
★coalition	2547 -> coalitions
tin	2547 -> tins,tinning,tinned
chicken	2544 -> chickens,chickened,chickening
★cattle	2542 -> cattles
★terminal	2542 -> terminals
drain	2541 -> drained,drains,draining
polish	2540 -> polished,polishing,polishes
cable	2535 -> cables,cabled,cabling
★grammar	2534 -> grammars
★victoria	2534 -> victorias
★shelf	2530 -> shelves
allocate	2529 -> allocated,allocating,allocates
bench	2526 -> benches,benched
★completion	2526 -> completions
lower	2523 -> lowered,lowering,lowers
★folk	2522 -> folks
★specimen	2522 -> specimens
★alexander	2521 -> alexanders
★weekly	2521 -> weeklies
roger	2518 -> rogered,rogering
★infant	2516 -> infants
★clerk	2511 -> clerks
★closure	2510 -> closures
govern	2510 -> governed,governing,governs
communicate	2509 -> communicated,communicating,communicates
shade	2508 -> shades,shaded,shading
pray	2507 -> prayed,praying,prays
swallow	2507 -> swallowed,swallowing,swallows
★superior	2506 -> superiors
regret	2502 -> regretted,regrets,regretting
★virtue	2501 -> virtues
★terry	2500 -> terries
injure	2499 -> injured,injuring,injures
interface	2499 -> interfaces,interfaced
lodge	2499 -> lodged,lodging,lodges
★nursing	2498 -> nursings
★flying	2497 -> flyings
★taxation	2497 -> taxations
★marine	2491 -> marines
★lucy	2487 -> lucies
★publicity	2487 -> publicities
★carbon	2486 -> carbons
contest	2485 -> contested,contests,contesting
seize	2485 -> seized,seizing,seizes
★evolution	2484 -> evolutions
★creative	2481 -> creatives
fold	2481 -> folded,folds,folding
bare	2480 -> bared,barest,baring,bares,barer
rebel	2478 -> rebels,rebelled,rebelling
trail	2478 -> trailed,trailing,trails
update	2477 -> updated,updating,updates
duck	2476 -> ducks,ducked,ducking
★reception	2475 -> receptions
★diary	2474 -> diaries
★agenda	2473 -> agendas
pig	2472 -> pigs,pigging,pigged
★accounting	2468 -> accountings
★ocean	2468 -> oceans
pump	2468 -> pumps,pumped,pumping
nerve	2467 -> nerves,nerved,nerving
★printer	2467 -> printers
★ultimate	2467 -> ultimates
leather	2466 -> leathers,leathering,leathered
★closer	2465 -> closers
hook	2464 -> hooked,hooks,hooking
★passion	2463 -> passions
★portrait	2462 -> portraits
disorder	2460 -> disorders,disordered
★dividend	2458 -> dividends
★earl	2458 -> earls
potato	2458 -> potatoes,potatos
★darling	2457 -> darlings
★durham	2456 -> durhams
★detective	2452 -> detectives
★traveller	2451 -> travellers
bitter	2450 -> bitters,bitterest
shine	2448 -> shone,shining,shines,shined
★punishment	2447 -> punishments
rabbit	2446 -> rabbits,rabbiting,rabbited
★jury	2445 -> juries
★vat	2444 -> vats
★berlin	2443 -> berlins
★ideology	2439 -> ideologies
★applicant	2438 -> applicants
★seller	2438 -> sellers
★desperate	2433 -> desperates
undergo	2430 -> undergoing,undergone,underwent,undergoes
★reflection	2429 -> reflections
evaluate	2428 -> evaluated,evaluating,evaluates
★trousers	2428 -> trouser
★lost	2425 -> losts
abstract	2424 -> abstracts,abstracted,abstracting
gross	2421 -> grossed,grosser,grossing,grossest,grosses
★ulster	2418 -> ulsters
harbour	2416 -> harbours,harbouring,harboured
★innovation	2416 -> innovations
dose	2415 -> doses,dosed,dosing
murmur	2414 -> murmured,murmuring,murmurs
★raw	2414 -> rawest
cotton	2413 -> cottons,cottoned,cottoning
★exposure	2412 -> exposures
★integration	2412 -> integrations
rat	2412 -> rats,ratted,ratting
★horror	2408 -> horrors
decrease	2407 -> decreased,decreases,decreasing
★junction	2406 -> junctions
★purchaser	2404 -> purchasers
eliminate	2402 -> eliminated,eliminating,eliminates
★machinery	2402 -> machineries
★conversion	2400 -> conversions
flesh	2400 -> fleshed,fleshing,fleshes
grasp	2400 -> grasped,grasping,grasps
clash	2399 -> clashes,clashed,clashing
★illegal	2395 -> illegals
★imperial	2394 -> imperials
★informal	2390 -> informals
★outer	2389 -> outers
float	2388 -> floating,floated,floats
★gary	2388 -> garies
★companion	2386 -> companions
fragment	2384 -> fragments,fragmented,fragmenting
★maker	2383 -> makers
★constable	2382 -> constables
strict	2382 -> stricter,strictest
★borough	2381 -> boroughs
compose	2381 -> composed,composing,composes
★mummy	2380 -> mummies
★singer	2380 -> singers
★premium	2379 -> premiums
★mayor	2377 -> mayors
★planet	2367 -> planets
convey	2364 -> conveyed,conveying,conveys
fence	2363 -> fences,fenced,fencing
★registration	2363 -> registrations
★vendor	2363 -> vendors
wipe	2363 -> wiped,wiping,wipes
exact	2361 -> exacted,exacting,exacts
clever	2359 -> cleverer,cleverest
essay	2359 -> essays,essayed,essaying
★cliff	2357 -> cliffs
★disc	2356 -> discs
★terrace	2356 -> terraces
★commissioner	2355 -> commissioners
★resignation	2355 -> resignations
foster	2352 -> fostered,fostering,fosters
wander	2352 -> wandered,wandering,wanders
★emperor	2350 -> emperors
★attraction	2349 -> attractions
★commander	2349 -> commanders
sack	2349 -> sacked,sacks,sacking
confront	2346 -> confronted,confronting,confronts
★pope	2345 -> popes
★dutch	2343 -> dutches
★assurance	2341 -> assurances
★depression	2341 -> depressions
freeze	2341 -> frozen,froze,freezes,freezing
★particle	2340 -> particles
★funeral	2339 -> funerals
★stimulus	2335 -> stimuli
★subsidiary	2335 -> subsidiaries
★automatic	2334 -> automatics
★chapel	2334 -> chapels
anticipate	2332 -> anticipated,anticipating,anticipates
exhibit	2329 -> exhibited,exhibits,exhibiting
★organ	2329 -> organs
shore	2329 -> shores,shoring,shored
★cousin	2328 -> cousins
★oral	2328 -> orals
★anthony	2327 -> anthonies
grain	2327 -> grains,grained,graining
merit	2326 -> merits,merited,meriting
retail	2326 -> retailing,retails,retailed
★baker	2325 -> bakers
suspend	2323 -> suspended,suspending,suspends
★villa	2323 -> villas
★friendship	2320 -> friendships
★republican	2320 -> republicans
★dublin	2316 -> dublins
weigh	2316 -> weighed,weighing,weighs
★destruction	2315 -> destructions
★ethnic	2315 -> ethnics
★chocolate	2314 -> chocolates
fleet	2312 -> fleets,fleeting
★incentive	2312 -> incentives
toy	2311 -> toys,toyed,toying
★fibre	2308 -> fibres
punch	2308 -> punched,punches,punching
★carriage	2306 -> carriages
★holding	2306 -> holdings
rally	2306 -> rallies,rallied,rallying
★sympathy	2306 -> sympathies
needle	2305 -> needles,needling,needled
★spiritual	2305 -> spirituals
★allocation	2304 -> allocations
★conception	2304 -> conceptions
garage	2301 -> garages,garaged,garaging
kit	2301 -> kits,kitted,kitting,kiting
★nicholas	2295 -> nicholass
★declaration	2293 -> declarations
★petrol	2291 -> petrols
★rational	2291 -> rationals
★logical	2289 -> logicals
★directive	2288 -> directives
★inadequate	2287 -> inadequates
★disposal	2286 -> disposals
★ambition	2285 -> ambitions
★essex	2285 -> essexes
★inspection	2285 -> inspections
fate	2283 -> fates,fated,fatest
acute	2282 -> acutes,acutest
spin	2281 -> spun,spinning,spins
flame	2280 -> flames,flamed,flaming
bike	2275 -> bikes,biking,biked
★diana	2275 -> dianas
★correspondent	2274 -> correspondents
★prominent	2274 -> prominents
★mortality	2273 -> mortalities
★electrical	2269 -> electricals
★identification	2266 -> identifications
★silk	2266 -> silks
★oliver	2264 -> olivers
★logic	2263 -> logics
condemn	2262 -> condemned,condemning,condemns
★nowhere	2260 -> nowheres
cancel	2259 -> cancelled,cancelling,cancels
★mineral	2257 -> minerals
★molecule	2252 -> molecules
nail	2252 -> nails,nailed,nailing
★angel	2250 -> angels
★calculation	2250 -> calculations
modify	2249 -> modified,modifying,modifies
thrust	2249 -> thrusting,thrusts
★withdrawal	2248 -> withdrawals
★voter	2247 -> voters
mature	2246 -> matured,matures,maturing,maturer,maturest
pan	2246 -> pans,panned,panning
correspond	2245 -> corresponding,corresponds,corresponded
★dictionary	2238 -> dictionaries
humour	2238 -> humours,humouring,humoured
devise	2237 -> devised,devising,devises
★entertainment	2236 -> entertainments
★hypothesis	2235 -> hypotheses
★underground	2233 -> undergrounding
★equity	2231 -> equities
★federation	2230 -> federations
rubbish	2229 -> rubbished,rubbishing,rubbishes
★era	2228 -> eras
★coverage	2226 -> coverages
★complexity	2225 -> complexities
★youngster	2224 -> youngsters
inspire	2223 -> inspired,inspiring,inspires
★mutual	2221 -> mutuals
squeeze	2221 -> squeezed,squeezing,squeezes
★competitor	2220 -> competitors
neglect	2218 -> neglected,neglecting,neglects
★asian	2213 -> asians
swear	2213 -> sworn,swore,swearing,swears
★miller	2209 -> millers
★marginal	2208 -> marginals
rumour	2207 -> rumours,rumoured
chat	2206 -> chatting,chatted,chats
broadcast	2202 -> broadcasts,broadcasting,broadcasted
★forth	2202 -> forths
★atlantic	2201 -> atlantics
induce	2200 -> induced,induces,inducing
rob	2199 -> robbed,robbing,robs
shower	2199 -> showers,showered,showering
★turkey	2199 -> turkeys
flag	2197 -> flags,flagged,flagging
★jew	2197 -> jews
★mrs.	2197 -> mrs.s
rub	2197 -> rubbed,rubbing,rubs
★rover	2196 -> rovers
★invitation	2194 -> invitations
triumph	2193 -> triumphs,triumphed,triumphing
★farming	2189 -> farmings
★pond	2187 -> ponds
★isle	2185 -> isles
★disability	2183 -> disabilities
integrate	2183 -> integrated,integrating,integrates
faint	2182 -> faintest,fainted,fainter,fainting,faints
★clinic	2181 -> clinics
★stranger	2181 -> strangers
★tonne	2181 -> tonnes
beam	2180 -> beams,beamed,beaming
cure	2179 -> cured,cures,curing
slice	2177 -> slices,sliced,slicing
convince	2174 -> convinced,convincing,convinces
★california	2173 -> californias
★accountant	2172 -> accountants
frown	2171 -> frowned,frowning,frowns
★statute	2171 -> statutes
★insight	2169 -> insights
knit	2168 -> knitting,knitted,knits
★lamb	2166 -> lambs
rope	2166 -> ropes,roped,roping
★processor	2165 -> processors
bull	2164 -> bulls,bulling
★robin	2164 -> robins
reign	2163 -> reigns,reigned,reigning
bulk	2162 -> bulked,bulking,bulks
★domain	2160 -> domains
★cinema	2158 -> cinemas
★egypt	2158 -> egypts
butter	2157 -> buttered,buttering,butters
★removal	2157 -> removals
bang	2154 -> banging,banged,bangs
★sheffield	2153 -> sheffields
damn	2151 -> damned,damning,damns
★publishing	2150 -> publishings
★suspicion	2150 -> suspicions
skirt	2148 -> skirts,skirted,skirting
★organic	2146 -> organics
★anniversary	2143 -> anniversaries
★civilian	2141 -> civilians
★ceremony	2140 -> ceremonies
★saint	2140 -> saints
★westminster	2140 -> westminsters
translate	2139 -> translated,translating,translates
★acre	2134 -> acres
★satellite	2133 -> satellites
★monopoly	2132 -> monopolies
★daddy	2131 -> daddies
dock	2130 -> docks,docked,docking
dump	2123 -> dumped,dumping,dumps
★stability	2123 -> stabilities
★miner	2122 -> miners
drill	2121 -> drilling,drilled,drills
nest	2121 -> nests,nesting,nested
★gloucestershire	2120 -> gloucestershires
jail	2119 -> jailed,jails,jailing
★shortage	2118 -> shortages
★merger	2117 -> mergers
★tribunal	2117 -> tribunals
stitch	2116 -> stitches,stitched,stitching
★curious	2115 -> curiouser
★explosion	2115 -> explosions
★jurisdiction	2115 -> jurisdictions
★adjustment	2109 -> adjustments
alert	2108 -> alerted,alerting,alerts
★allegation	2108 -> allegations
★christopher	2108 -> christophers
★controversy	2107 -> controversies
★insect	2104 -> insects
render	2104 -> rendered,renders,rendering
sanction	2104 -> sanctions,sanctioned,sanctioning
★lion	2101 -> lions
★albert	2100 -> alberts
★kelly	2099 -> kellies
★rachel	2098 -> rachels
penny	2097 -> pennies,pence
shame	2097 -> shamed,shames,shaming
don	2096 -> dons,donned,donning
★lawrence	2096 -> lawrences
insert	2094 -> inserted,inserting,inserts
panic	2093 -> panicking,panics,panicked
★specification	2092 -> specifications
★cloth	2090 -> cloths
dot	2089 -> dots,dotted,dotting
★stuart	2089 -> stuarts
★sussex	2088 -> sussexes
gang	2086 -> gangs,ganging,ganged
tide	2086 -> tides,tiding,tided
★russell	2084 -> russells
greet	2083 -> greeted,greeting,greets
★clothing	2081 -> clothings
★illustration	2081 -> illustrations
initiate	2081 -> initiated,initiating,initiates
★colony	2078 -> colonies
★emission	2077 -> emissions
devote	2075 -> devoted,devoting,devotes
★exclusive	2075 -> exclusives
★banking	2074 -> bankings
★stewart	2074 -> stewarts
taxi	2073 -> taxis,taxiing,taxied
★celebration	2072 -> celebrations
★therapy	2072 -> therapies
★louis	2070 -> louiss
★poland	2068 -> polands
★effectiveness	2067 -> effectivenesses
★fiction	2067 -> fictions
★passing	2067 -> passings
★laughter	2065 -> laughters
★tournament	2065 -> tournaments
accommodate	2064 -> accommodated,accommodating,accommodates
★episode	2064 -> episodes
★romantic	2064 -> romantics
admire	2063 -> admired,admiring,admires
★receipt	2063 -> receipts
★trustee	2062 -> trustees
★nursery	2059 -> nurseries
★ace	2058 -> aces
★accordance	2056 -> accordances
overlook	2056 -> overlooked,overlooking,overlooks
comply	2052 -> complied,complying,complies
sheer	2052 -> sheers,sheered,sheering
flee	2051 -> fled,fleeing,flees
★transformation	2050 -> transformations
assert	2048 -> asserted,asserting,asserts
criticise	2048 -> criticised,criticising,criticises
verse	2047 -> verses,versed
tender	2046 -> tenders,tendered,tendering,tenderest
disadvantage	2044 -> disadvantages,disadvantaged,disadvantaging
probe	2043 -> probes,probed,probing
★piano	2042 -> pianos
★thames	2039 -> thamess
★advertisement	2037 -> advertisements
shield	2037 -> shields,shielded,shielding
★invasion	2036 -> invasions
★graphics	2035 -> graphicss
★testing	2034 -> testings
★bible	2032 -> bibles
adventure	2031 -> adventures,adventuring,adventured
embrace	2031 -> embraced,embracing,embraces
evolve	2029 -> evolved,evolving,evolves
★battery	2027 -> batteries
★rhythm	2027 -> rhythms
★hardware	2026 -> hardwares
★navy	2026 -> navies
★maria	2025 -> marias
stimulate	2025 -> stimulated,stimulates,stimulating
★toilet	2025 -> toilets
undermine	2025 -> undermined,undermining,undermines
★discrimination	2024 -> discriminations
★chemistry	2023 -> chemistries
★bernard	2021 -> bernards
disturb	2021 -> disturbed,disturbing,disturbs
enforce	2021 -> enforced,enforcing,enforces
shelter	2021 -> shelters,sheltered,sheltering
proposition	2020 -> propositions,propositioned,propositioning
★abbey	2019 -> abbeys
boom	2019 -> boomed,booming,booms
★bass	2018 -> basses
★fluid	2016 -> fluids
★necessity	2014 -> necessities
★photo	2013 -> photos
thou	2013 -> thee,thy,thine,ye
★courage	2012 -> courages
★myth	2012 -> myths
★server	2011 -> servers
widow	2011 -> widows,widowed
★instant	2009 -> instants
★monthly	2009 -> monthlies
interrupt	2008 -> interrupted,interrupting,interrupts
★fighting	2005 -> fightings
provoke	2005 -> provoked,provoking,provokes
hesitate	2004 -> hesitated,hesitating,hesitates
await	2003 -> awaiting,awaited,awaits
★eighteenth	2002 -> eighteenths
gender	2002 -> genders,gendered
sandwich	2001 -> sandwiches,sandwiched,sandwiching
handicap	1999 -> handicapped,handicaps,handicapping
★menu	1999 -> menus
gay	1998 -> gays,gayer,gayest
★lamp	1998 -> lamps
damp	1997 -> damped,damper,damping,damps,dampest
situate	1996 -> situated,situates,situating
★wright	1996 -> wrights
emphasize	1995 -> emphasized,emphasizes,emphasizing
★restoration	1992 -> restorations
★wildlife	1992 -> wildlives
★motive	1989 -> motives
clue	1987 -> clues,clued
noble	1985 -> nobles,nobler,noblest
★doctrine	1983 -> doctrines
★manor	1982 -> manors
★lorry	1980 -> lorries
★virus	1980 -> viruses
★artificial	1979 -> artificials
mutter	1979 -> muttered,muttering,mutters
★heating	1978 -> heatings
★airline	1977 -> airlines
★jackson	1977 -> jacksons
★institutional	1975 -> institutionals
★iran	1974 -> irans
pity	1973 -> pitied,pitying,pities
★mechanical	1972 -> mechanicals
★biological	1971 -> biologicals
brave	1970 -> braved,braver,bravest,braving,braves
★creditor	1970 -> creditors
★nationalist	1970 -> nationalists
★heritage	1968 -> heritages
★luxury	1968 -> luxuries
★flexibility	1967 -> flexibilities
★circular	1966 -> circulars
★intent	1965 -> intents
leaflet	1965 -> leaflets,leafleting,leafleted
forgive	1964 -> forgiven,forgave,forgives,forgiving
sin	1964 -> sins,sinned,sinning
smart	1963 -> smarter,smarting,smartest,smarted,smarts
★functional	1962 -> functionals
spectrum	1962 -> spectra,spectrums
★hierarchy	1961 -> hierarchies
log	1958 -> logs,logged,logging
★warmth	1958 -> warmths
worship	1957 -> worshipped,worships,worshipping
★pensioner	1956 -> pensioners
★theft	1955 -> thefts
★computing	1952 -> computings
ghost	1952 -> ghosts,ghosted,ghosting
★iraqi	1952 -> iraqis
★attendance	1950 -> attendances
★copper	1949 -> coppers
★indicator	1949 -> indicators
★ritual	1949 -> rituals
elaborate	1948 -> elaborated,elaborating,elaborates
pet	1948 -> pets,petting,petted
★loyalty	1946 -> loyalties
★sociology	1946 -> sociologies
★spectacular	1944 -> spectaculars
★fraction	1943 -> fractions
pardon	1942 -> pardoned,pardons,pardoning
★portfolio	1941 -> portfolios
★successor	1940 -> successors
★harris	1939 -> harriss
sacrifice	1939 -> sacrifices,sacrificed,sacrificing
★pursuit	1938 -> pursuits
★productivity	1937 -> productivities
fig	1936 -> figs,figging
★interim	1936 -> interims
★probability	1936 -> probabilities
★virgin	1935 -> virgins
dull	1933 -> dulled,duller,dullest,dulling,dulls
chap	1931 -> chaps,chapping,chapped
★developer	1927 -> developers
★essence	1927 -> essences
forum	1927 -> forums,fora
★separation	1926 -> separations
★availability	1925 -> availabilities
★painter	1924 -> painters
★businessman	1922 -> businessmen
★continent	1922 -> continents
fare	1922 -> fares,fared,faring
★refusal	1922 -> refusals
★overnight	1920 -> overnights
★seminar	1920 -> seminars
equip	1917 -> equipped,equipping,equips
★raf	1917 -> rafs
★tragedy	1917 -> tragedies
★breeding	1916 -> breedings
devil	1914 -> devils,devilled,devilling
flavour	1913 -> flavours,flavoured,flavouring
hammer	1911 -> hammered,hammering,hammers
★landing	1910 -> landings
curl	1909 -> curled,curls,curling
★justification	1908 -> justifications
★amateur	1907 -> amateurs
beg	1904 -> begged,begging,begs
consume	1903 -> consumed,consuming,consumes
retreat	1903 -> retreated,retreating,retreats
steep	1903 -> steeper,steeped,steepest,steeping,steeps
★carrier	1901 -> carriers
★classification	1901 -> classifications
nasty	1900 -> nasties,nastier,nastiest
★ross	1899 -> rosses
★unfair	1899 -> unfairest
★eliot	1897 -> eliots
★builder	1896 -> builders
★marx	1896 -> marxes
★duration	1894 -> durations
★analyst	1893 -> analysts
★continental	1893 -> continentals
heel	1892 -> heels,heeled,heeling
mask	1891 -> masks,masked,masking
★oxygen	1891 -> oxygens
★legislative	1889 -> legislatives
★aids	1887 -> aidss
★fraud	1886 -> frauds
★discretion	1885 -> discretions
★lifetime	1885 -> lifetimes
★primitive	1885 -> primitives
★coming	1884 -> comings
★receiver	1884 -> receivers
★missile	1883 -> missiles
★capitalism	1881 -> capitalisms
★juice	1881 -> juices
riot	1881 -> riots,rioted,rioting
★colonel	1878 -> colonels
★oak	1878 -> oaks
prejudice	1878 -> prejudices,prejudiced,prejudicing
unite	1878 -> united,uniting,unites
★working-class	1878 -> working-classes
appendix	1877 -> appendices,appendixes
★density	1877 -> densities
sculpture	1877 -> sculptures,sculptured,sculpturing
fade	1876 -> faded,fading,fades
shit	1875 -> shits,shitting,shitted,shat
mud	1874 -> muds,mudding,mudded
★polytechnic	1874 -> polytechnics
jet	1873 -> jets,jetting,jetted
★reporter	1873 -> reporters
★palestinian	1871 -> palestinians
★unionist	1871 -> unionists
execute	1870 -> executed,executing,executes
★leicester	1869 -> leicesters
★succession	1869 -> successions
liberty	1868 -> liberties,libertys
★avenue	1866 -> avenues
★coloured	1866 -> coloureds
hip	1865 -> hips,hippest,hipper
unhappy	1865 -> unhappier,unhappiest
abolish	1864 -> abolished,abolishing,abolishes
★hunter	1863 -> hunters
educate	1862 -> educated,educating,educates
★modification	1861 -> modifications
★dean	1860 -> deans
rod	1860 -> rods,rodding
bureau	1859 -> bureaux,bureaus
★installation	1859 -> installations
★apartment	1858 -> apartments
★isolation	1858 -> isolations
administer	1857 -> administered,administering,administers
★diagnosis	1855 -> diagnoses
palm	1855 -> palms,palmed,palming
trigger	1854 -> triggered,triggers,triggering
★smoking	1853 -> smokings
moor	1852 -> moors,moored,mooring
★heading	1850 -> headings
★norm	1849 -> norms
knight	1848 -> knights,knighted,knighting
aggregate	1846 -> aggregates,aggregated,aggregating,aggregated.
★protestant	1846 -> protestants
★residence	1846 -> residences
coup	1843 -> coups,couped
★dialogue	1843 -> dialogues
allege	1842 -> alleged,alleging,alleges
strand	1842 -> strands,stranded,stranding
★whisky	1842 -> whiskies
★inn	1841 -> inns
★musician	1841 -> musicians
cluster	1840 -> clusters,clustered,clustering
★cupboard	1840 -> cupboards
★defender	1840 -> defenders
★physics	1840 -> physicss
★preliminary	1840 -> preliminaries
blast	1839 -> blasted,blasts,blasting
★subsidy	1839 -> subsidies
tutor	1838 -> tutors,tutoring,tutored
★champagne	1837 -> champagnes
hedge	1837 -> hedges,hedged,hedging
★speculation	1837 -> speculations
isolate	1836 -> isolated,isolates,isolating
★israeli	1836 -> israelis
★narrative	1834 -> narratives
★suicide	1833 -> suicides
★canadian	1832 -> canadians
★vertical	1831 -> verticals
★cardiff	1830 -> cardiffs
★directory	1830 -> directories
★sensation	1829 -> sensations
★collector	1828 -> collectors
glory	1828 -> glories,gloried,glorying
★casual	1827 -> casuals
envisage	1827 -> envisaged,envisages,envisaging
★morgan	1827 -> morgans
warrant	1827 -> warrants,warranted,warranting
★capability	1825 -> capabilities
★ingredient	1823 -> ingredients
★stance	1823 -> stances
★vietnam	1823 -> vietnams
obscure	1820 -> obscured,obscures,obscuring,obscurer,obscurest
★bean	1819 -> beans
screw	1819 -> screwed,screws,screwing
★evans	1818 -> evanss
hungry	1818 -> hungrier,hungriest
★timing	1817 -> timings
★autonomy	1816 -> autonomies
★delegation	1816 -> delegations
★elder	1816 -> elders
accent	1814 -> accents,accented,accenting
cave	1814 -> caves,caved,caving
★tactic	1811 -> tactics
★trainer	1811 -> trainers
diagram	1809 -> diagrams,diagrammed
invent	1809 -> invented,inventing,invents
★olympic	1806 -> olympics
★entity	1805 -> entities
minus	1803 -> minuses,minusses
★progressive	1803 -> progressives
★fantasy	1802 -> fantasies
assign	1799 -> assigned,assigning,assigns
★consensus	1798 -> consensuss
★midnight	1798 -> midnights
★tropical	1798 -> tropicals
resemble	1797 -> resembles,resembled,resembling
cater	1796 -> catering,catered,caters
opt	1796 -> opted,opting,opts
★concession	1795 -> concessions
founder	1795 -> founders,foundered,foundering
scratch	1795 -> scratched,scratching,scratches
compact	1794 -> compacts,compacted,compacting,compacter
blank	1793 -> blanks,blanked,blanking,blanker,blankest
drum	1792 -> drums,drummed,drumming
★allen	1791 -> allens
★killer	1791 -> killers
★organism	1791 -> organisms
resume	1790 -> resumed,resuming,resumes
combat	1789 -> combating,combats,combatting,combated,combatted
ferry	1789 -> ferries,ferried,ferrying
★hunting	1789 -> huntings
★ambulance	1788 -> ambulances
disclose	1788 -> disclosed,disclosing,discloses
petition	1783 -> petitions,petitioned,petitioning
★scholar	1783 -> scholars
★intensive	1782 -> intensives
★liberation	1782 -> liberations
regulate	1781 -> regulated,regulating,regulates
★morris	1779 -> morriss
eagle	1777 -> eagles,eagled
★offender	1777 -> offenders
★trader	1777 -> traders
★bye	1774 -> byes
bat	1772 -> bats,batting,batted
concede	1771 -> conceded,conceding,concedes
edit	1771 -> edited,editing,edits
lung	1771 -> lungs,lunging
★bastard	1770 -> bastards
★radiation	1770 -> radiations
★teenager	1770 -> teenagers
★pregnancy	1769 -> pregnancies
stride	1769 -> strode,strides,striding,stridden,strid
★wool	1769 -> wools
★rider	1768 -> riders
★thesis	1768 -> theses
★pakistan	1766 -> pakistans
★constituent	1765 -> constituents
★partial	1765 -> partials
★bonus	1763 -> bonuses
★fitting	1762 -> fittings
★incidence	1761 -> incidences
★shakespeare	1761 -> shakespeares
★striking	1761 -> strikings
★easter	1759 -> easters
query	1759 -> queries,queried,querying
★swimming	1759 -> swimmings
★horizon	1758 -> horizons
persist	1758 -> persisted,persists,persisting
conceive	1757 -> conceived,conceiving,conceives
★auditor	1756 -> auditors
★christianity	1756 -> christianities
truck	1754 -> trucks,trucking,trucked
★ash	1753 -> ashes
crazy	1753 -> craziest,crazier,crazies
★redundancy	1753 -> redundancies
defect	1751 -> defects,defected,defecting
fetch	1751 -> fetched,fetching,fetches
deck	1749 -> decks,decked,decking
★clark	1748 -> clarks
★correlation	1745 -> correlations
★clay	1744 -> clays
inherit	1744 -> inherited,inheriting,inherits
instruct	1741 -> instructed,instructing,instructs
charm	1738 -> charms,charmed,charming
★motivation	1738 -> motivations
★assignment	1736 -> assignments
★exceptional	1736 -> exceptionals
incur	1734 -> incurred,incurring,incurs
rage	1733 -> raged,raging,rages
facilitate	1731 -> facilitated,facilitating,facilitates
neat	1731 -> neater,neatest
★striker	1731 -> strikers
dislike	1730 -> disliked,dislikes,disliking
★organiser	1730 -> organisers
pledge	1730 -> pledged,pledges,pledging
★suffering	1730 -> sufferings
★hey	1728 -> heys
mild	1727 -> milder,mildest,milds
cheer	1726 -> cheered,cheers,cheering
plead	1726 -> pleaded,pleading,pleads,pled
★sphere	1725 -> spheres
★sword	1725 -> swords
★walking	1725 -> walkings
★sterling	1723 -> sterlings
★engagement	1722 -> engagements
interfere	1722 -> interfering,interfered,interferes
★casualty	1721 -> casualties
erect	1720 -> erected,erecting,erects
prey	1720 -> preyed,preying,preys
★basket	1719 -> baskets
★lighting	1719 -> lightings
★pavement	1718 -> pavements
queue	1718 -> queues,queuing,queued,queueing
bargain	1716 -> bargains,bargaining,bargained
remainder	1716 -> remainders,remaindered
sweat	1716 -> sweating,sweated,sweats
★parameter	1714 -> parameters
lap	1713 -> laps,lapped,lapping
★instinct	1712 -> instincts
stall	1711 -> stalls,stalled,stalling
★scandal	1710 -> scandals
arch	1709 -> arches,arched,arching
★venue	1708 -> venues
★liver	1705 -> livers
spray	1703 -> sprayed,sprays,spraying
★translation	1703 -> translations
★intensity	1701 -> intensities
surrender	1701 -> surrendered,surrendering,surrenders
★envelope	1700 -> envelopes
★rating	1697 -> ratings
★accuracy	1696 -> accuracies
auction	1696 -> auctions,auctioned,auctioning
★monster	1696 -> monsters
★nightmare	1695 -> nightmares
★cleveland	1694 -> clevelands
